BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Categorie,Plot_id,TypeOfOpen,SoilTemp,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,Sample_date
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,ForetMixe,050603,NA,13.3,3,2,3,0.1,5,1,050603,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,ForetMixe,050604,NA,16.2,0,3,0.1,2,4,2,050604,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,lisiere,050901,NA,15.1,1,2,2,1,1,3,050901,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,lisiere,050902,NA,14.8,2,3,2,1,1,0.1,050902,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,lisiere,050903,NA,15.2,2,3,3,0.1,2,0.1,050903,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,transport,051301,NA,13.8,1,3,0.1,3,3,1,051301,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,ZoneConstruite,051501,NA,21.9,4,3,0.1,0,0,0,051501,18.07.19
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,20190718,ZoneConstruite,051502,NA,24.8,4,3,0,0.1,0,0,051502,18.07.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,Autre,060101,crop,17.8,2,2,0,3,4,0.1,060101,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,Autre,060102,crop,18.1,5,1,0,0,0,0,060102,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,Autre,060103,meadow,17.6,2,5,0,0,0,0.1,060103,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,Autre,060104,meadow,17.4,2,5,0,0,0,0,060104,24.08.19
